,county_lat,county_lon,population,BA,cesm_lat,cesm_lon
414,36.117581930326665,-90.5590120434118,47411.0,MISO-8910,36.2060698241491,-90.54270509831247
415,36.094826477477866,-91.91336539165252,14405.0,MISO-8910,36.18993713432332,-92.04270509831247
416,41.03175353402476,-91.94889086333957,15291.0,MISO-0035,41.02466890091328,-92.04270509831247
417,42.12113574754577,-91.13146143776908,21253.0,MISO-0035,42.20003750407266,-91.29270509831247
418,43.20377299760916,-94.20671687180432,14322.0,MISO-0035,43.21237512674039,-94.29270509831247
419,40.92308985573188,-91.18152841612532,38077.0,MISO-0035,41.03548257749274,-91.29270509831247
420,44.41332803340825,-95.83899750546148,25684.0,MISO-0035,44.31066566315605,-95.79270509831252
421,42.38614638254708,-95.10529177218577,9525.0,MISO-0035,42.43203427177577,-95.04270509831252
422,44.68533855903142,-83.59373729831353,10556.0,MISO-0027,44.6055276796182,-83.45729490168748
423,45.122936993006476,-94.52737283441472,23603.0,MISO-0001,45.11756279486406,-94.5325445012312
424,43.67137692826464,-92.75251462669709,40971.0,MISO-0035,43.673286554119606,-92.79270509831247
425,37.0539453844303,-88.712535589826,67553.0,MISO-0006,36.95028852785059,-88.70729490168753
426,44.68355468082303,-84.6102946699608,13722.0,MISO-0027,44.66256534528679,-84.54270509831247
427,42.595982095022286,-84.83830088937341,109581.0,MISO-0027,42.62995864189289,-84.75
428,41.0301331854754,-95.15635600063608,10002.0,MISO-0035,41.13063065618019,-95.25000000000006
429,41.02272548219289,-87.11618792485692,33894.0,MISO-0006,41.00898823167296,-87.20729490168753
430,48.34349987538489,-103.48045079324645,41767.0,MISO-0001,48.480685859632736,-103.63998654210292
431,31.343150032281965,-93.85168746484075,10012.0,MISO-8910,31.43910171627426,-93.95729490168748
432,39.145073896730835,-84.97332101213756,51609.0,MISO-0006,39.098503058945425,-84.95729490168748
433,41.04183918817457,-86.69879631505582,12463.0,MISO-0006,40.99822985521567,-86.79270509831252
434,39.61987442252887,-85.46575743202807,16767.0,MISO-0006,39.66305738733118,-85.5
435,42.037153792008354,-95.38198927552078,16237.0,MISO-0035,42.07779613177996,-95.45729490168753
436,39.49544693506121,-92.00076043247327,8959.0,MISO-0035,39.52482514011129,-92.04270509831247
437,39.33354664394073,-87.78774314439387,15114.0,MISO-0004,39.185651731163574,-87.75
438,42.84455256888028,-91.34127720727938,16845.0,MISO-0035,42.742730442858836,-91.29270509831247
439,40.73763844554981,-93.78628873865479,7655.0,MISO-0035,40.646589627534254,-93.75
440,42.05159812875545,-95.95978653806127,8539.0,MISO-0035,42.0507171192043,-96.00000000000006
441,44.638682991823615,-86.01556743428812,18568.0,MISO-0027,44.72432270960497,-86.04270509831252
442,43.987797512379615,-84.8478618272868,31543.0,MISO-0027,43.922348375960055,-84.75
443,39.3561546991071,-90.39050841349975,11313.0,MISO-0004,39.20603594668933,-90.54270509831247
444,39.16080136503313,-86.52309902544343,143345.0,MISO-0006,39.15362372365964,-86.45729490168753
445,38.54174200537264,-86.49506130195923,19834.0,MISO-0006,38.40393144179027,-86.45729490168753
446,39.10335525890538,-85.2624548934517,29434.0,MISO-0006,39.112505074922254,-85.29270509831247
447,40.74551847507754,-95.60464365966347,6522.0,MISO-0035,40.57865157220254,-95.45729490168753
448,42.731471014444196,-92.79018040027891,14049.0,MISO-0035,42.71606261535736,-92.79270509831247
449,41.33141454245964,-94.92783669420425,12960.0,MISO-0035,41.34707201397119,-95.04270509831252
450,35.830897784109304,-90.63290709253425,116957.0,MISO-8910,35.79148576831043,-90.54270509831247
451,44.999025986924934,-85.14018325287574,24698.0,MISO-0027,45.10909606984841,-85.25867477622705
452,44.022881305730856,-96.258648735631,9260.0,MISO-0035,44.0816206793393,-96.20729490168753
453,45.585933729089334,-95.44448820871709,11420.0,MISO-0001,45.623157761780064,-95.38846645759241
454,45.93364980945763,-95.45351363533382,40120.0,MISO-0001,45.82863668718281,-95.42738316941995
455,41.21847274377971,-91.25943486001324,10416.0,MISO-0035,41.24277039623172,-91.29270509831247
456,41.33435871329493,-93.09944600055509,34192.0,MISO-0035,41.41831037291129,-93.0
457,39.961776501151725,-90.75037473256664,6401.0,MISO-0004,39.95487840694197,-90.75
458,35.02212688341102,-90.74780400237603,21800.0,MISO-8910,35.04039746461411,-90.75
