unit_id,LRZ,capacity_mw,energy_storage_capacity_mwh,thermal_derate_name,thermal_for_profile_name,solar_profile_name,wind_profile_name
MISO_01_NaturalGas_092,01,381.6,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_035,MISO_01_CT_074,,
MISO_01_NaturalGas_093,01,349.0,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_036,MISO_01_CT_076,,
MISO_01_NaturalGas_095,01,346.8,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_039,MISO_01_CT_080,,
MISO_01_NaturalGas_096,01,89.6,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_043,MISO_01_CT_092,,
MISO_01_NaturalGas_097,01,405.70000000000005,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_044,MISO_01_CT_097,,
MISO_01_NaturalGas_098,01,116.0,0.0,MISO_01_Natural_Gas_Steam_Turbine_RC_007,MISO_01_ST_012,,
MISO_01_NaturalGas_099,01,35.9,0.0,MISO_01_Natural_Gas_Steam_Turbine_RC_008,MISO_01_ST_013,,
MISO_01_NaturalGas_100,01,26.5,0.0,MISO_01_Natural_Gas_Steam_Turbine_RC_010,MISO_01_ST_017,,
MISO_01_NaturalGas_101,01,106.2,0.0,MISO_01_Natural_Gas_Steam_Turbine_RC_014,MISO_01_ST_021,,
MISO_01_NaturalGas_102,01,27.2,0.0,MISO_01_Natural_Gas_Steam_Turbine_RC_018,MISO_01_ST_030,,
MISO_01_NaturalGas_103,01,10.0,0.0,MISO_01_Natural_Gas_Steam_Turbine_RC_020,MISO_01_ST_044,,
MISO_01_NaturalGas_104,01,13.0,0.0,MISO_01_Natural_Gas_Steam_Turbine_RC_027,MISO_01_ST_061,,
MISO_01_NaturalGas_105,01,23.1,0.0,MISO_01_Natural_Gas_Steam_Turbine_RC_038,MISO_01_ST_078,,
MISO_01_NaturalGas_106,01,22.0,0.0,MISO_01_Natural_Gas_Steam_Turbine_RC_041,MISO_01_ST_085,,
MISO_01_NaturalGas_107,01,14.3,0.0,MISO_01_Natural_Gas_Steam_Turbine_RC_043,MISO_01_ST_092,,
MISO_01_NaturalGas_108,01,3.6,0.0,MISO_01_Natural_Gas_Steam_Turbine_RC_045,MISO_01_ST_102,,
MISO_01_NaturalGas_109,01,18.6,0.0,,MISO_01_CT_009,,
MISO_01_NaturalGas_110,01,2.6,0.0,,MISO_01_CT_031,,
MISO_01_NaturalGas_111,01,6.800000000000001,0.0,,MISO_01_CT_035,,
MISO_01_NaturalGas_112,01,12.1,0.0,,MISO_01_CT_046,,
MISO_01_NaturalGas_113,01,28.400000000000002,0.0,,MISO_01_CT_063,,
MISO_01_NaturalGas_114,01,131.6,0.0,,MISO_01_CT_067,,
MISO_01_NaturalGas_115,01,49.0,0.0,,MISO_01_CT_070,,
MISO_01_NaturalGas_116,01,75.9,0.0,,MISO_01_CT_074,,
MISO_01_NaturalGas_117,01,16.9,0.0,,MISO_01_CT_082,,
MISO_01_NaturalGas_118,01,6.0,0.0,,MISO_01_CT_086,,
MISO_01_NaturalGas_119,01,46.5,0.0,,MISO_01_CT_092,,
MISO_01_NaturalGas_120,01,1.1,0.0,,MISO_01_CT_093,,
MISO_01_NaturalGas_121,01,3.1,0.0,,MISO_01_CT_095,,
MISO_01_Nuclear_122,01,685.0,0.0,,MISO_01_NU_050,,
MISO_01_Nuclear_123,01,1186.2,0.0,,MISO_01_NU_071,,
MISO_01_ThermalOther_124,01,1.6,0.0,,MISO_01_CT_035,,
MISO_01_ThermalOther_126,01,3.2,0.0,,MISO_01_CT_045,,
MISO_01_ThermalOther_127,01,2.4000000000000004,0.0,,MISO_01_CT_068,,
MISO_01_ThermalOther_129,01,3.2,0.0,,MISO_01_CT_075,,
MISO_01_ThermalOther_130,01,1.1,0.0,,MISO_01_CT_090,,
MISO_01_ThermalOther_131,01,52.3,0.0,,MISO_01_ST_001,,
MISO_01_ThermalOther_132,01,9.8,0.0,,MISO_01_ST_026,,
MISO_01_ThermalOther_133,01,72.8,0.0,,MISO_01_ST_027,,
MISO_01_ThermalOther_134,01,88.30000000000001,0.0,,MISO_01_ST_028,,
MISO_01_ThermalOther_135,01,20.0,0.0,,MISO_01_ST_030,,
MISO_01_ThermalOther_136,01,15.7,0.0,,MISO_01_ST_043,,
MISO_01_ThermalOther_137,01,3.2,0.0,,MISO_01_ST_046,,
MISO_01_ThermalOther_138,01,37.0,0.0,,MISO_01_ST_060,,
MISO_01_ThermalOther_139,01,39.5,0.0,,MISO_01_ST_061,,
MISO_01_ThermalOther_140,01,77.5,0.0,,MISO_01_ST_067,,
MISO_01_ThermalOther_141,01,23.4,0.0,,MISO_01_ST_074,,
MISO_01_ThermalOther_142,01,23.0,0.0,,MISO_01_ST_079,,
MISO_01_ThermalOther_143,01,8.0,0.0,,MISO_01_ST_083,,
MISO_01_ThermalOther_144,01,13.1,0.0,,MISO_01_ST_085,,
MISO_01_ThermalOther_145,01,11.6,0.0,,MISO_01_ST_092,,
MISO_01_ThermalOther_146,01,30.4,0.0,,MISO_01_ST_094,,
MISO_01_ThermalOther_147,01,1.8,0.0,,MISO_01_ST_100,,
MISO_01_ThermalOther_148,01,5.4,0.0,,MISO_01_ST_101,,
MISO_01_solar_001,01,1.0,0.0,,,MISO_01_solar_001,
MISO_01_solar_003,01,5.6,0.0,,,MISO_01_solar_003,
MISO_01_solar_004,01,2.0,0.0,,,MISO_01_solar_004,
MISO_01_solar_005,01,6.0,0.0,,,MISO_01_solar_005,
MISO_01_solar_006,01,1.6,0.0,,,MISO_01_solar_006,
MISO_01_solar_007,01,1.0,0.0,,,MISO_01_solar_007,
MISO_01_solar_008,01,0.5,0.0,,,MISO_01_solar_008,
MISO_01_solar_009,01,1.0,0.0,,,MISO_01_solar_009,
MISO_01_solar_011,01,5.8,0.0,,,MISO_01_solar_011,
